,Shot Made Flag
95677,0
23657,1
115294,1
23379,1
27647,1
21429,0
87717,1
11668,1
25778,1
21186,1
17207,0
98971,1
38139,0
125747,0
45776,1
98189,0
54597,0
121754,0
79865,1
38251,0
100393,1
78728,1
51730,0
5259,0
31166,1
57905,0
96044,1
52636,0
123571,1
82033,0
125627,0
17934,0
5400,1
26424,1
30730,1
44055,1
54071,0
119660,1
75362,1
67832,0
20439,0
33545,0
123328,0
125940,0
15103,0
78703,0
15690,1
34118,0
103616,0
80094,0
117588,0
78889,0
111160,1
119297,0
43081,0
118818,0
54047,1
65910,1
125268,1
10162,1
92313,0
2636,0
104977,1
109996,0
84827,1
18574,0
76920,1
38745,1
37756,0
12024,1
20441,0
37743,0
77506,1
30750,1
18298,1
115901,0
89411,1
35776,0
54980,1
78532,0
39900,0
71970,1
66794,0
95217,0
37404,1
88920,0
107471,0
51974,0
8688,0
17814,0
49572,1
60076,0
90286,1
115685,1
17334,0
77507,1
88868,1
78985,0
127228,0
56010,1
34731,1
379,1
95129,0
88306,0
11552,0
3247,1
9928,1
85987,1
123937,1
70422,0
82433,0
68032,0
42059,1
110896,1
68623,1
3917,1
101930,0
121753,0
33107,0
122595,1
37667,1
30565,0
97545,0
92509,0
74457,1
18225,0
61103,0
111555,1
117837,1
9708,1
119055,0
113667,1
57501,0
100663,0
30472,0
11665,1
10849,0
43358,1
67429,0
61435,0
10725,1
49218,1
917,0
31454,0
121380,1
57119,1
5156,0
108266,0
34677,0
79231,1
58659,0
125080,1
76038,1
68416,1
77692,0
10055,1
8561,0
42874,0
126022,1
23764,1
87745,0
50654,1
37225,1
42552,1
66181,1
77884,0
110319,0
64825,1
67257,0
97072,0
54037,1
20857,0
72087,1
83105,1
27025,1
51001,0
84177,0
113113,0
124858,0
12649,0
27932,1
29747,0
107700,0
98182,0
127302,0
109089,0
101840,0
62313,0
32931,1
83518,1
21364,1
51048,0
11355,0
98206,0
46560,1
8577,1
16743,1
27588,0
44746,1
77596,1
96524,0
108224,0
57910,1
83133,0
49632,1
62877,1
82823,1
17471,1
22897,1
127121,0
114186,0
68909,0
94365,1
71293,0
93091,1
87732,1
9332,0
22165,0
123253,1
9939,1
25832,0
6211,1
122370,1
60915,0
103191,0
113626,0
8556,0
13160,1
3178,0
67091,0
102648,1
71002,0
44855,1
19039,1
92633,0
51400,1
117747,0
51622,1
74078,1
36037,0
62992,0
2416,1
105338,0
71926,1
73924,1
105942,0
28668,1
59474,0
74287,0
14918,0
12033,0
37809,1
873,0
87639,0
32058,1
1058,0
2325,1
118153,1
122497,0
22269,1
82974,1
110714,0
5750,1
28013,1
77288,0
7119,1
29300,1
52983,1
1211,0
83839,0
5944,1
3799,0
101501,0
22219,0
93389,1
124565,1
82613,1
13937,0
62259,1
28106,1
90300,0
105628,1
50920,0
62996,0
45388,0
2830,0
100085,0
98641,0
65250,1
48719,0
91544,1
8831,0
20654,0
70737,0
4462,0
11587,1
96891,1
31044,0
101758,0
123566,0
107925,1
52933,0
57336,1
15124,0
26604,0
87469,0
2674,0
71373,1
118255,1
89755,1
108508,0
4761,0
88365,1
121949,0
81939,1
123251,1
105065,1
81115,0
115453,0
94813,1
107506,1
81460,0
27600,0
95978,0
73766,0
13774,1
12585,1
10077,0
40284,1
15911,1
84476,0
23973,1
65549,0
120982,0
74910,1
78722,0
